476272.5.peg.1	476272.21.peg.3947.RUMHYD_00002
476272.5.peg.279	476272.21.peg.3520.RUMHYD_00515
476272.5.peg.280	476272.21.peg.3521.RUMHYD_00516
476272.5.peg.281	476272.21.peg.3522.RUMHYD_00517
476272.5.peg.282	476272.21.peg.3523.RUMHYD_00518
476272.5.peg.283	476272.21.peg.3524.RUMHYD_00519
476272.5.peg.284	476272.21.peg.3525.RUMHYD_00520
476272.5.peg.285	476272.21.peg.3526.RUMHYD_00521
476272.5.peg.286	476272.21.peg.3527.RUMHYD_00522
476272.5.peg.287	476272.21.peg.3528.RUMHYD_00523
476272.5.peg.288	476272.21.peg.3529.RUMHYD_00524
476272.5.peg.289	476272.21.peg.3530.RUMHYD_00525
476272.5.peg.290	476272.21.peg.3531.RUMHYD_00526
476272.5.peg.291	476272.21.peg.3532.RUMHYD_00527
476272.5.peg.292	476272.21.peg.3533.RUMHYD_00528
476272.5.peg.293	476272.21.peg.3534.RUMHYD_00529
476272.5.peg.294	476272.21.peg.3535.RUMHYD_00530
476272.5.peg.295	476272.21.peg.3537.RUMHYD_00532
476272.5.peg.296	476272.21.peg.3538.RUMHYD_00533
476272.5.peg.297	476272.21.peg.3540.RUMHYD_00535
476272.5.peg.298	476272.21.peg.3541.RUMHYD_00536
476272.5.peg.299	476272.21.peg.3542.RUMHYD_00537
476272.5.peg.300	476272.21.peg.3543.RUMHYD_00538
476272.5.peg.301	476272.21.peg.3544.RUMHYD_00539
476272.5.peg.302	476272.21.peg.3545.RUMHYD_00540
476272.5.peg.303	476272.21.peg.3546.RUMHYD_00541
476272.5.peg.304	476272.21.peg.3547.RUMHYD_00542
476272.5.peg.305	476272.21.peg.3548.RUMHYD_00543
476272.5.peg.306	476272.21.peg.3549.RUMHYD_00544
476272.5.peg.307	476272.21.peg.3551.RUMHYD_00546
476272.5.peg.308	476272.21.peg.3552.RUMHYD_00547
476272.5.peg.309	476272.21.peg.3553.RUMHYD_00548
476272.5.peg.310	476272.21.peg.3554.RUMHYD_00549
476272.5.peg.311	476272.21.peg.3555.RUMHYD_00550
476272.5.peg.312	476272.21.peg.3556.RUMHYD_00551
476272.5.peg.313	476272.21.peg.3557.RUMHYD_00552
476272.5.peg.314	476272.21.peg.3558.RUMHYD_00553
476272.5.peg.315	476272.21.peg.3559.RUMHYD_00554
476272.5.peg.316	476272.21.peg.3560.RUMHYD_00555
476272.5.peg.317	476272.21.peg.3562.RUMHYD_00556
476272.5.peg.318	476272.21.peg.3563.RUMHYD_00557
476272.5.peg.319	476272.21.peg.3564.RUMHYD_00559
476272.5.peg.320	476272.21.peg.3565.RUMHYD_00560
476272.5.peg.321	476272.21.peg.3566.RUMHYD_00561
476272.5.peg.322	476272.21.peg.3567.RUMHYD_00562
476272.5.peg.323	476272.21.peg.3568.RUMHYD_00563
476272.5.peg.324	476272.21.peg.3569.RUMHYD_00564
476272.5.peg.325	476272.21.peg.3570.RUMHYD_00565
476272.5.peg.326	476272.21.peg.3571.RUMHYD_00566
476272.5.peg.327	476272.21.peg.3572.RUMHYD_00567
476272.5.peg.328	476272.21.peg.3573.RUMHYD_00568
476272.5.peg.354	476272.21.peg.3575.RUMHYD_00569
476272.5.peg.355	476272.21.peg.3576.RUMHYD_00570
476272.5.peg.356	476272.21.peg.3579.RUMHYD_00572
476272.5.peg.357	476272.21.peg.3581.RUMHYD_00573
476272.5.peg.358	476272.21.peg.3582.RUMHYD_00575
476272.5.peg.359	476272.21.peg.3583.RUMHYD_00576
476272.5.peg.360	476272.21.peg.3585.RUMHYD_00578
476272.5.peg.361	476272.21.peg.3586.RUMHYD_00579
476272.5.peg.362	476272.21.peg.3588.RUMHYD_00581
476272.5.peg.363	476272.21.peg.3589.RUMHYD_00582
476272.5.peg.364	476272.21.peg.3590.RUMHYD_00583
476272.5.peg.365	476272.21.peg.3591.RUMHYD_00584
476272.5.peg.366	476272.21.peg.3592.RUMHYD_00585
476272.5.peg.367	476272.21.peg.3593.RUMHYD_00586
476272.5.peg.368	476272.21.peg.3594.RUMHYD_00587
476272.5.peg.369	476272.21.peg.3596.RUMHYD_00589
476272.5.peg.370	476272.21.peg.3598.RUMHYD_00591
476272.5.peg.371	476272.21.peg.3599.RUMHYD_00592
476272.5.peg.372	476272.21.peg.3600.RUMHYD_00593
476272.5.peg.373	476272.21.peg.3601.RUMHYD_00594
476272.5.peg.374	476272.21.peg.3603.RUMHYD_00596
476272.5.peg.375	476272.21.peg.3604.RUMHYD_00597
476272.5.peg.376	476272.21.peg.3606.RUMHYD_00599
476272.5.peg.377	476272.21.peg.3607.RUMHYD_00600
476272.5.peg.378	476272.21.peg.3608.RUMHYD_00601
476272.5.peg.379	476272.21.peg.3609.RUMHYD_00602
476272.5.peg.380	476272.21.peg.3610.RUMHYD_00603
476272.5.peg.381	476272.21.peg.3611.RUMHYD_00604
476272.5.peg.382	476272.21.peg.3612.RUMHYD_00605
476272.5.peg.383	476272.21.peg.3613.RUMHYD_00606
476272.5.peg.384	476272.21.peg.3614.RUMHYD_00607
476272.5.peg.385	476272.21.peg.3615.RUMHYD_00608
476272.5.peg.386	476272.21.peg.3616.RUMHYD_00609
476272.5.peg.387	476272.21.peg.3617.RUMHYD_00610
476272.5.peg.388	476272.21.peg.3618.RUMHYD_00611
476272.5.peg.389	476272.21.peg.3619.RUMHYD_00612
476272.5.peg.390	476272.21.peg.3620.RUMHYD_00613
476272.5.peg.391	476272.21.peg.3621.RUMHYD_00614
476272.5.peg.392	476272.21.peg.3622.RUMHYD_00615
476272.5.peg.393	476272.21.peg.3623.RUMHYD_00616
476272.5.peg.394	476272.21.peg.3624.RUMHYD_00617
476272.5.peg.395	476272.21.peg.3625.RUMHYD_00618
476272.5.peg.396	476272.21.peg.3626.RUMHYD_00619
476272.5.peg.397	476272.21.peg.3627.RUMHYD_00620
476272.5.peg.399	476272.21.peg.3628.RUMHYD_00623
476272.5.peg.400	476272.21.peg.3630.RUMHYD_00625
476272.5.peg.401	476272.21.peg.3631.RUMHYD_00626
476272.5.peg.402	476272.21.peg.3632.RUMHYD_00627
476272.5.peg.403	476272.21.peg.3633.RUMHYD_00628
476272.5.peg.404	476272.21.peg.3634.RUMHYD_00629
476272.5.peg.405	476272.21.peg.3635.RUMHYD_00630
476272.5.peg.406	476272.21.peg.3636.RUMHYD_00631
476272.5.peg.407	476272.21.peg.3637.RUMHYD_00632
476272.5.peg.408	476272.21.peg.3638.RUMHYD_00633
476272.5.peg.409	476272.21.peg.3639.RUMHYD_00634
476272.5.peg.410	476272.21.peg.3640.RUMHYD_00635
476272.5.peg.411	476272.21.peg.3641.RUMHYD_00636
476272.5.peg.412	476272.21.peg.3642.RUMHYD_00637
476272.5.peg.413	476272.21.peg.3643.RUMHYD_00638
476272.5.peg.414	476272.21.peg.3644.RUMHYD_00639
476272.5.peg.415	476272.21.peg.3645.RUMHYD_00640
476272.5.peg.416	476272.21.peg.3646.RUMHYD_00641
476272.5.peg.417	476272.21.peg.3648.RUMHYD_00642
476272.5.peg.418	476272.21.peg.3649.RUMHYD_00643
476272.5.peg.419	476272.21.peg.3650.RUMHYD_00644
476272.5.peg.420	476272.21.peg.3651.RUMHYD_00645
476272.5.peg.421	476272.21.peg.3652.RUMHYD_00646
476272.5.peg.422	476272.21.peg.3653.RUMHYD_00647
476272.5.peg.423	476272.21.peg.3654.RUMHYD_00648
476272.5.peg.424	476272.21.peg.3655.RUMHYD_00649
476272.5.peg.425	476272.21.peg.3656.RUMHYD_00650
476272.5.peg.426	476272.21.peg.3657.RUMHYD_00651
476272.5.peg.427	476272.21.peg.3658.RUMHYD_00652
476272.5.peg.428	476272.21.peg.3659.RUMHYD_00653
476272.5.peg.429	476272.21.peg.3660.RUMHYD_00654
476272.5.peg.430	476272.21.peg.3662.RUMHYD_00656
476272.5.peg.431	476272.21.peg.3664.RUMHYD_00659
476272.5.peg.433	476272.21.peg.3666.RUMHYD_00661
476272.5.peg.434	476272.21.peg.3667.RUMHYD_00662
476272.5.peg.435	476272.21.peg.3668.RUMHYD_00663
476272.5.peg.436	476272.21.peg.3669.RUMHYD_00664
476272.5.peg.437	476272.21.peg.3670.RUMHYD_00665
476272.5.peg.438	476272.21.peg.3671.RUMHYD_00666
476272.5.peg.440	476272.21.peg.3672.RUMHYD_00667
476272.5.peg.441	476272.21.peg.3673.RUMHYD_00668
476272.5.peg.442	476272.21.peg.3674.RUMHYD_00669
476272.5.peg.443	476272.21.peg.3675.RUMHYD_00670
476272.5.peg.444	476272.21.peg.3676.RUMHYD_00671
476272.5.peg.445	476272.21.peg.3677.RUMHYD_00672
476272.5.peg.446	476272.21.peg.3679.RUMHYD_00674
476272.5.peg.447	476272.21.peg.3680.RUMHYD_00675
476272.5.peg.448	476272.21.peg.3681.RUMHYD_00676
476272.5.peg.450	476272.21.peg.3682.RUMHYD_00677
476272.5.peg.451	476272.21.peg.3683.RUMHYD_00678
476272.5.peg.452	476272.21.peg.3684.RUMHYD_00680
476272.5.peg.453	476272.21.peg.3686.RUMHYD_00682
476272.5.peg.454	476272.21.peg.3687.RUMHYD_00683
476272.5.peg.455	476272.21.peg.3688.RUMHYD_00684
476272.5.peg.456	476272.21.peg.3689.RUMHYD_00685
476272.5.peg.457	476272.21.peg.3690.RUMHYD_00686
476272.5.peg.458	476272.21.peg.3691.RUMHYD_00687
476272.5.peg.459	476272.21.peg.3692.RUMHYD_00688
476272.5.peg.460	476272.21.peg.3693.RUMHYD_00689
476272.5.peg.461	476272.21.peg.3694.RUMHYD_00690
476272.5.peg.462	476272.21.peg.3696.RUMHYD_00692
476272.5.peg.463	476272.21.peg.3697.RUMHYD_00693
476272.5.peg.464	476272.21.peg.3698.RUMHYD_00694
476272.5.peg.465	476272.21.peg.3701.RUMHYD_00696
476272.5.peg.466	476272.21.peg.3702.RUMHYD_00697
476272.5.peg.467	476272.21.peg.3703.RUMHYD_00698
476272.5.peg.468	476272.21.peg.3705.RUMHYD_00700
476272.5.peg.469	476272.21.peg.3706.RUMHYD_00701
476272.5.peg.470	476272.21.peg.3707.RUMHYD_00702
476272.5.peg.471	476272.21.peg.3708.RUMHYD_00703
476272.5.peg.472	476272.21.peg.3709.RUMHYD_00704
476272.5.peg.473	476272.21.peg.3710.RUMHYD_00705
476272.5.peg.474	476272.21.peg.3711.RUMHYD_00706
476272.5.peg.475	476272.21.peg.3712.RUMHYD_00707
476272.5.peg.476	476272.21.peg.3713.RUMHYD_00708
476272.5.peg.477	476272.21.peg.3714.RUMHYD_00709
476272.5.peg.478	476272.21.peg.3715.RUMHYD_00710
476272.5.peg.479	476272.21.peg.3716.RUMHYD_00711
476272.5.peg.480	476272.21.peg.3718.RUMHYD_00713
476272.5.peg.481	476272.21.peg.3719.RUMHYD_00714
476272.5.peg.482	476272.21.peg.3720.RUMHYD_00715
476272.5.peg.483	476272.21.peg.3721.RUMHYD_00716
476272.5.peg.484	476272.21.peg.3722.RUMHYD_00717
476272.5.peg.485	476272.21.peg.3723.RUMHYD_00718
476272.5.peg.486	476272.21.peg.3724.RUMHYD_00719
476272.5.peg.487	476272.21.peg.3725.RUMHYD_00720
476272.5.peg.488	476272.21.peg.3726.RUMHYD_00721
476272.5.peg.489	476272.21.peg.3727.RUMHYD_00722
476272.5.peg.490	476272.21.peg.3728.RUMHYD_00723
476272.5.peg.491	476272.21.peg.3729.RUMHYD_00724
476272.5.peg.492	476272.21.peg.3730.RUMHYD_00728
476272.5.peg.493	476272.21.peg.3731.RUMHYD_00729
476272.5.peg.494	476272.21.peg.3733.RUMHYD_00731
476272.5.peg.495	476272.21.peg.3734.RUMHYD_00732
476272.5.peg.496	476272.21.peg.3735.RUMHYD_00733
476272.5.peg.497	476272.21.peg.3736.RUMHYD_00734
476272.5.peg.498	476272.21.peg.3737.RUMHYD_00735
476272.5.peg.499	476272.21.peg.3738.RUMHYD_00736
476272.5.peg.500	476272.21.peg.3739.RUMHYD_00737
476272.5.peg.501	476272.21.peg.3740.RUMHYD_00738
476272.5.peg.502	476272.21.peg.3741.RUMHYD_00739
476272.5.peg.503	476272.21.peg.3742.RUMHYD_00740
476272.5.peg.504	476272.21.peg.3743.RUMHYD_00741
476272.5.peg.505	476272.21.peg.3744.RUMHYD_00742
476272.5.peg.506	476272.21.peg.3745.RUMHYD_00743
476272.5.peg.507	476272.21.peg.3747.RUMHYD_00745
476272.5.peg.508	476272.21.peg.3748.RUMHYD_00746
476272.5.peg.509	476272.21.peg.3749.RUMHYD_00747
476272.5.peg.510	476272.21.peg.3751.RUMHYD_00749
476272.5.peg.511	476272.21.peg.3752.RUMHYD_00750
476272.5.peg.512	476272.21.peg.3753.RUMHYD_00751
476272.5.peg.513	476272.21.peg.3754.RUMHYD_00752
476272.5.peg.514	476272.21.peg.3755.RUMHYD_00753
476272.5.peg.515	476272.21.peg.3756.RUMHYD_00754
476272.5.peg.516	476272.21.peg.3758.RUMHYD_00755
476272.5.peg.518	476272.21.peg.3760.RUMHYD_00758
476272.5.peg.519	476272.21.peg.3761.RUMHYD_00759
476272.5.peg.520	476272.21.peg.3763.RUMHYD_00761
476272.5.peg.521	476272.21.peg.3764.RUMHYD_00762
476272.5.peg.522	476272.21.peg.3765.RUMHYD_00763
476272.5.peg.523	476272.21.peg.3766.RUMHYD_00764
476272.5.peg.524	476272.21.peg.3767.RUMHYD_00765
476272.5.peg.525	476272.21.peg.3768.RUMHYD_00766
476272.5.peg.526	476272.21.peg.3769.RUMHYD_00767
476272.5.peg.527	476272.21.peg.3771.RUMHYD_00769
476272.5.peg.528	476272.21.peg.3772.RUMHYD_00770
476272.5.peg.529	476272.21.peg.3773.RUMHYD_00771
476272.5.peg.530	476272.21.peg.3774.RUMHYD_00772
476272.5.peg.531	476272.21.peg.3775.RUMHYD_00773
476272.5.peg.532	476272.21.peg.3776.RUMHYD_00774
476272.5.peg.533	476272.21.peg.3777.RUMHYD_00775
476272.5.peg.534	476272.21.peg.3778.RUMHYD_00776
476272.5.peg.535	476272.21.peg.3779.RUMHYD_00777
476272.5.peg.536	476272.21.peg.3780.RUMHYD_00778
476272.5.peg.537	476272.21.peg.3781
476272.5.peg.538	476272.21.peg.3782.RUMHYD_00779
476272.5.peg.539	476272.21.peg.3783.RUMHYD_00780
476272.5.peg.540	476272.21.peg.3784.RUMHYD_00781
476272.5.peg.541	476272.21.peg.3785.RUMHYD_00782
476272.5.peg.542	476272.21.peg.3786.RUMHYD_00783
476272.5.peg.543	476272.21.peg.3787.RUMHYD_00784
476272.5.peg.544	476272.21.peg.3788.RUMHYD_00785
476272.5.peg.545	476272.21.peg.3789.RUMHYD_00786
476272.5.peg.546	476272.21.peg.3790.RUMHYD_00787
476272.5.peg.547	476272.21.peg.3792.RUMHYD_00788
476272.5.peg.548	476272.21.peg.3793.RUMHYD_00789
476272.5.peg.549	476272.21.peg.3794.RUMHYD_00790
476272.5.peg.550	476272.21.peg.3795.RUMHYD_00791
476272.5.peg.551	476272.21.peg.3796.RUMHYD_00792
476272.5.peg.552	476272.21.peg.3797.RUMHYD_00793
476272.5.peg.553	476272.21.peg.3798.RUMHYD_00794
476272.5.peg.554	476272.21.peg.3799.RUMHYD_00795
476272.5.peg.555	476272.21.peg.3800.RUMHYD_00796
476272.5.peg.556	476272.21.peg.3802.RUMHYD_00798
476272.5.peg.557	476272.21.peg.3803.RUMHYD_00799
476272.5.peg.558	476272.21.peg.3804
476272.5.peg.559	476272.21.peg.3806.RUMHYD_00801
476272.5.peg.560	476272.21.peg.3807.RUMHYD_00802
476272.5.peg.626	476272.21.peg.3808.RUMHYD_00803
476272.5.peg.627	476272.21.peg.3812.RUMHYD_00806
476272.5.peg.628	476272.21.peg.3813
476272.5.peg.629	476272.21.peg.3814.RUMHYD_00808
476272.5.peg.630	476272.21.peg.3818.RUMHYD_00812
476272.5.peg.631	476272.21.peg.3819.RUMHYD_00813
476272.5.peg.632	476272.21.peg.3820.RUMHYD_00814
476272.5.peg.633	476272.21.peg.3822.RUMHYD_00816
476272.5.peg.634	476272.21.peg.3823.RUMHYD_00817
476272.5.peg.635	476272.21.peg.3824.RUMHYD_00818
476272.5.peg.636	476272.21.peg.3825.RUMHYD_00819
476272.5.peg.637	476272.21.peg.3826.RUMHYD_00820
476272.5.peg.638	476272.21.peg.3827.RUMHYD_00821
476272.5.peg.639	476272.21.peg.3828.RUMHYD_00822
476272.5.peg.640	476272.21.peg.3829.RUMHYD_00823
476272.5.peg.641	476272.21.peg.3830.RUMHYD_00824
476272.5.peg.642	476272.21.peg.3831.RUMHYD_00825
476272.5.peg.643	476272.21.peg.3832.RUMHYD_00826
476272.5.peg.644	476272.21.peg.3834.RUMHYD_00828
476272.5.peg.645	476272.21.peg.3837.RUMHYD_00830
476272.5.peg.646	476272.21.peg.3838.RUMHYD_00831
476272.5.peg.647	476272.21.peg.3839.RUMHYD_00832
476272.5.peg.649	476272.21.peg.3840.RUMHYD_00833
476272.5.peg.650	476272.21.peg.3841.RUMHYD_00834
476272.5.peg.651	476272.21.peg.3843.RUMHYD_00835
476272.5.peg.652	476272.21.peg.3844.RUMHYD_00836
476272.5.peg.653	476272.21.peg.3845.RUMHYD_00837
476272.5.peg.654	476272.21.peg.3848.RUMHYD_00840
476272.5.peg.655	476272.21.peg.3849.RUMHYD_00841
476272.5.peg.656	476272.21.peg.3850.RUMHYD_00842
476272.5.peg.657	476272.21.peg.3851.RUMHYD_00843
476272.5.peg.661	476272.21.peg.3854.RUMHYD_00846
476272.5.peg.662	476272.21.peg.3855.RUMHYD_00847
476272.5.peg.663	476272.21.peg.3857.RUMHYD_00849
476272.5.peg.664	476272.21.peg.3858.RUMHYD_00850
476272.5.peg.665	476272.21.peg.3860.RUMHYD_00852
476272.5.peg.666	476272.21.peg.3861.RUMHYD_00853
476272.5.peg.667	476272.21.peg.3862.RUMHYD_00854
476272.5.peg.668	476272.21.peg.3863.RUMHYD_00855
476272.5.peg.669	476272.21.peg.3864.RUMHYD_00856
476272.5.peg.670	476272.21.peg.3865.RUMHYD_00857
476272.5.peg.671	476272.21.peg.3866.RUMHYD_00858
476272.5.peg.672	476272.21.peg.3867.RUMHYD_00859
476272.5.peg.673	476272.21.peg.3868.RUMHYD_00860
476272.5.peg.674	476272.21.peg.3869.RUMHYD_00861
476272.5.peg.675	476272.21.peg.3870.RUMHYD_00862
476272.5.peg.676	476272.21.peg.3871.RUMHYD_00863
476272.5.peg.677	476272.21.peg.3872.RUMHYD_00864
476272.5.peg.678	476272.21.peg.3873.RUMHYD_00865
476272.5.peg.679	476272.21.peg.3875.RUMHYD_00867
476272.5.peg.680	476272.21.peg.3876.RUMHYD_00869
476272.5.peg.681	476272.21.peg.3877.RUMHYD_00870
476272.5.peg.682	476272.21.peg.3879.RUMHYD_00872
476272.5.peg.683	476272.21.peg.3880.RUMHYD_00873
476272.5.peg.684	476272.21.peg.3881.RUMHYD_00874
476272.5.peg.685	476272.21.peg.3882.RUMHYD_00875
476272.5.peg.686	476272.21.peg.3883.RUMHYD_00876
476272.5.peg.687	476272.21.peg.3884.RUMHYD_00877
476272.5.peg.688	476272.21.peg.3885.RUMHYD_00878
476272.5.peg.689	476272.21.peg.3886.RUMHYD_00879
476272.5.peg.690	476272.21.peg.3887.RUMHYD_00880
476272.5.peg.691	476272.21.peg.3888.RUMHYD_00881
476272.5.peg.692	476272.21.peg.3890.RUMHYD_00883
476272.5.peg.693	476272.21.peg.3891.RUMHYD_00884
476272.5.peg.694	476272.21.peg.3893.RUMHYD_00885
476272.5.peg.695	476272.21.peg.3894.RUMHYD_00886
476272.5.peg.696	476272.21.peg.3895.RUMHYD_00887
476272.5.peg.697	476272.21.peg.3896.RUMHYD_00888
476272.5.peg.698	476272.21.peg.3897.RUMHYD_00889
476272.5.peg.699	476272.21.peg.3898.RUMHYD_00890
476272.5.peg.700	476272.21.peg.3899.RUMHYD_00891
476272.5.peg.701	476272.21.peg.3900.RUMHYD_00892
476272.5.peg.702	476272.21.peg.3901.RUMHYD_00893
476272.5.peg.703	476272.21.peg.3902.RUMHYD_00894
476272.5.peg.705	476272.21.peg.3904.RUMHYD_00896
476272.5.peg.706	476272.21.peg.3905.RUMHYD_00897
476272.5.peg.707	476272.21.peg.3906.RUMHYD_00898
476272.5.peg.708	476272.21.peg.3907.RUMHYD_00899
476272.5.peg.709	476272.21.peg.3908.RUMHYD_00900
476272.5.peg.710	476272.21.peg.3909.RUMHYD_00901
476272.5.peg.711	476272.21.peg.3910.RUMHYD_00902
476272.5.peg.712	476272.21.peg.3911.RUMHYD_00903
476272.5.peg.713	476272.21.peg.3913.RUMHYD_00904
476272.5.peg.714	476272.21.peg.3914.RUMHYD_00905
476272.5.peg.715	476272.21.peg.3915.RUMHYD_00906
476272.5.peg.716	476272.21.peg.3916.RUMHYD_00907
476272.5.peg.717	476272.21.peg.3917.RUMHYD_00908
476272.5.peg.718	476272.21.peg.3920.RUMHYD_00911
476272.5.peg.719	476272.21.peg.3923.RUMHYD_00913
476272.5.peg.720	476272.21.peg.3924.RUMHYD_00914
476272.5.peg.721	476272.21.peg.3925.RUMHYD_00915
476272.5.peg.722	476272.21.peg.3926.RUMHYD_00916
476272.5.peg.723	476272.21.peg.3927.RUMHYD_00917
476272.5.peg.724	476272.21.peg.3928.RUMHYD_00918
476272.5.peg.725	476272.21.peg.3929.RUMHYD_00919
476272.5.peg.726	476272.21.peg.3930.RUMHYD_00920
476272.5.peg.727	476272.21.peg.3931.RUMHYD_00921
476272.5.peg.728	476272.21.peg.3932.RUMHYD_00922
476272.5.peg.729	476272.21.peg.3933.RUMHYD_00923
476272.5.peg.730	476272.21.peg.3934.RUMHYD_00924
476272.5.peg.731	476272.21.peg.3935.RUMHYD_00925
476272.5.peg.732	476272.21.peg.3936.RUMHYD_00926
476272.5.peg.733	476272.21.peg.3937.RUMHYD_00927
476272.5.peg.734	476272.21.peg.3939.RUMHYD_00928
476272.5.peg.735	476272.21.peg.3940.RUMHYD_00929
476272.5.peg.736	476272.21.peg.3941.RUMHYD_00930
476272.5.peg.737	476272.21.peg.3942.RUMHYD_00931
476272.5.peg.740	476272.21.peg.3944.RUMHYD_00933
476272.5.peg.833	476272.21.peg.2283.RUMHYD_00935
476272.5.peg.834	476272.21.peg.2284.RUMHYD_00936
476272.5.peg.835	476272.21.peg.2285.RUMHYD_00937
476272.5.peg.836	476272.21.peg.2286.RUMHYD_00938
476272.5.peg.837	476272.21.peg.2287.RUMHYD_00939
476272.5.peg.838	476272.21.peg.2288.RUMHYD_00940
476272.5.peg.839	476272.21.peg.2289.RUMHYD_00942
476272.5.peg.840	476272.21.peg.2290.RUMHYD_00943
476272.5.peg.956	476272.21.peg.2292.RUMHYD_00945
476272.5.peg.957	476272.21.peg.2293.RUMHYD_00946
476272.5.peg.958	476272.21.peg.2294.RUMHYD_00947
476272.5.peg.959	476272.21.peg.2295.RUMHYD_00948
476272.5.peg.960	476272.21.peg.2296.RUMHYD_00949
476272.5.peg.961	476272.21.peg.2297.RUMHYD_00950
476272.5.peg.962	476272.21.peg.2298.RUMHYD_00951
476272.5.peg.963	476272.21.peg.2300.RUMHYD_00953
476272.5.peg.964	476272.21.peg.2301.RUMHYD_00955
476272.5.peg.965	476272.21.peg.2302.RUMHYD_00956
476272.5.peg.966	476272.21.peg.2303.RUMHYD_00957
476272.5.peg.967	476272.21.peg.2304.RUMHYD_00958
476272.5.peg.968	476272.21.peg.2305.RUMHYD_00959
476272.5.peg.969	476272.21.peg.2306.RUMHYD_00960
476272.5.peg.970	476272.21.peg.2307.RUMHYD_00961
476272.5.peg.971	476272.21.peg.2308.RUMHYD_00962
476272.5.peg.972	476272.21.peg.2309.RUMHYD_00963
476272.5.peg.973	476272.21.peg.2310.RUMHYD_00964
476272.5.peg.974	476272.21.peg.2311.RUMHYD_00965
476272.5.peg.975	476272.21.peg.2312.RUMHYD_00966
476272.5.peg.976	476272.21.peg.2313.RUMHYD_00967
476272.5.peg.977	476272.21.peg.2314.RUMHYD_00968
476272.5.peg.978	476272.21.peg.2315.RUMHYD_00969
476272.5.peg.979	476272.21.peg.2316.RUMHYD_00970
476272.5.peg.980	476272.21.peg.2317.RUMHYD_00971
476272.5.peg.981	476272.21.peg.2318.RUMHYD_00972
476272.5.peg.982	476272.21.peg.2319.RUMHYD_00973
476272.5.peg.983	476272.21.peg.2320.RUMHYD_00974
476272.5.peg.984	476272.21.peg.2321.RUMHYD_00975
476272.5.peg.985	476272.21.peg.2322.RUMHYD_00976
476272.5.peg.986	476272.21.peg.2323.RUMHYD_00977
476272.5.peg.988	476272.21.peg.2325.RUMHYD_00979
476272.5.peg.989	476272.21.peg.2326.RUMHYD_00980
476272.5.peg.990	476272.21.peg.2327.RUMHYD_00981
476272.5.peg.991	476272.21.peg.2328.RUMHYD_00982
476272.5.peg.992	476272.21.peg.2329.RUMHYD_00983
476272.5.peg.993	476272.21.peg.2330.RUMHYD_00984
476272.5.peg.994	476272.21.peg.2331.RUMHYD_00985
476272.5.peg.995	476272.21.peg.2332.RUMHYD_00986
476272.5.peg.996	476272.21.peg.2335.RUMHYD_00989
476272.5.peg.997	476272.21.peg.2337.RUMHYD_00991
476272.5.peg.998	476272.21.peg.2338.RUMHYD_00992
476272.5.peg.1000	476272.21.peg.2340.RUMHYD_00993
476272.5.peg.1001	476272.21.peg.2341.RUMHYD_00994
476272.5.peg.1002	476272.21.peg.2342.RUMHYD_00995
476272.5.peg.1003	476272.21.peg.2343.RUMHYD_00996
476272.5.peg.1004	476272.21.peg.2344.RUMHYD_00997
476272.5.peg.1005	476272.21.peg.2345.RUMHYD_00998
476272.5.peg.1006	476272.21.peg.2348.RUMHYD_01001
476272.5.peg.1007	476272.21.peg.2351.RUMHYD_01003
476272.5.peg.1008	476272.21.peg.2352.RUMHYD_01004
476272.5.peg.1010	476272.21.peg.2355.RUMHYD_01007
476272.5.peg.1011	476272.21.peg.2356.RUMHYD_01008
476272.5.peg.1012	476272.21.peg.2357.RUMHYD_01009
476272.5.peg.1013	476272.21.peg.2358.RUMHYD_01010
476272.5.peg.1014	476272.21.peg.2359.RUMHYD_01011
476272.5.peg.1015	476272.21.peg.2361.RUMHYD_01013
476272.5.peg.1017	476272.21.peg.2362.RUMHYD_01015
476272.5.peg.1018	476272.21.peg.2363.RUMHYD_01016
476272.5.peg.1019	476272.21.peg.2364.RUMHYD_01017
476272.5.peg.1139	476272.21.peg.2366.RUMHYD_01019
476272.5.peg.1140	476272.21.peg.2367.RUMHYD_01020
476272.5.peg.1141	476272.21.peg.2368.RUMHYD_01021
476272.5.peg.1142	476272.21.peg.2369.RUMHYD_01022
476272.5.peg.1143	476272.21.peg.2370.RUMHYD_01023
476272.5.peg.1144	476272.21.peg.2371.RUMHYD_01024
476272.5.peg.1145	476272.21.peg.2372.RUMHYD_01025
476272.5.peg.1146	476272.21.peg.2373.RUMHYD_01026
476272.5.peg.1147	476272.21.peg.2374.RUMHYD_01027
476272.5.peg.1148	476272.21.peg.2376.RUMHYD_01029
476272.5.peg.1149	476272.21.peg.2377.RUMHYD_01030
476272.5.peg.1150	476272.21.peg.2378.RUMHYD_01031
476272.5.peg.1372	476272.21.peg.2379.RUMHYD_01032
476272.5.peg.1376	476272.21.peg.2381.RUMHYD_01034
476272.5.peg.1377	476272.21.peg.2382.RUMHYD_01035
476272.5.peg.1378	476272.21.peg.2383.RUMHYD_01036
476272.5.peg.1379	476272.21.peg.2384.RUMHYD_01037
476272.5.peg.1380	476272.21.peg.2385.RUMHYD_01038
476272.5.peg.1381	476272.21.peg.2386.RUMHYD_01039
476272.5.peg.1382	476272.21.peg.2387.RUMHYD_01040
476272.5.peg.1383	476272.21.peg.2388.RUMHYD_01041
476272.5.peg.1384	476272.21.peg.2389.RUMHYD_01042
